SecuCode,FirstIndustryName
600149,房地产
600166,汽车
600168,电力及公用事业
600184,国防军工
600186,食品饮料
600202,电力设备
600219,有色金属
600221,交通运输
600223,房地产
600237,电子元器件
600239,房地产
600257,农林牧渔
600259,有色金属
600276,医药
600278,商贸零售
600293,建材
600312,电力设备
600315,商贸零售
600331,有色金属
600333,电力及公用事业
600351,医药
600353,电子元器件
600369,非银行金融
600371,农林牧渔
600388,电力及公用事业
600390,有色金属
300353,通信
300444,电力设备
002512,计算机
300168,计算机
002516,汽车
300146,食品饮料
002524,石油石化
002534,机械
300175,农林牧渔
601116,商贸零售
002551,医药
300216,机械
002559,机械
601216,基础化工
601199,电力及公用事业
300199,医药
002564,机械
603806,电力设备
300368,机械
300357,医药
002705,家电
603037,汽车
300606,轻工制造
603303,家电
002875,纺织服装
002774,机械
300595,医药
300584,医药
600409,基础化工
600415,商贸零售
600436,医药
600439,纺织服装
600467,农林牧渔
600469,汽车
600490,有色金属
600493,纺织服装
600508,煤炭
600510,综合
600527,纺织服装
600529,医药
600548,交通运输
600550,电力设备
600567,轻工制造
600569,钢铁
600585,建材
600587,医药
600602,电子元器件
600604,房地产
600619,家电
600621,房地产
600634,钢铁
600636,基础化工
600651,家电
600653,汽车
600668,综合
600685,国防军工
600687,有色金属
600702,食品饮料
600704,汽车
600719,电力及公用事业
600721,煤炭
600736,房地产
600738,商贸零售
600751,交通运输
600753,建材
600768,有色金属
600770,综合
600785,商贸零售
600787,交通运输
600802,建材
600804,通信
600819,建材
600821,商贸零售
600836,轻工制造
600838,商贸零售
600853,建筑
600855,国防军工
600868,电力及公用事业
600870,家电
600885,电力设备
600887,食品饮料
600963,轻工制造
600967,机械
601888,餐饮旅游
002568,食品饮料
603328,电子元器件
002573,电力及公用事业
002575,轻工制造
002578,有色金属
300218,基础化工
300225,基础化工
300257,机械
300222,电力设备
300224,电子元器件
601567,电力设备
300258,汽车
603069,交通运输
603158,汽车
300476,电子元器件
603309,医药
002802,基础化工
603843,建筑
603988,电力设备
300430,机械
300475,家电
300411,机械
603788,汽车
601689,汽车
601881,非银行金融
300563,通信
300562,医药
603050,电力设备
300643,汽车
000005,房地产
000012,建材
000023,建材
000025,汽车
000027,电力及公用事业
000040,房地产
000043,房地产
000065,建筑
000068,电力及公用事业
000157,机械
000159,石油石化
000301,电力及公用事业
000413,电子元器件
000416,商贸零售
000501,商贸零售
000503,医药
000517,房地产
000519,建材
000521,家电
000534,房地产
000536,电子元器件
000551,电力设备
000553,基础化工
000568,食品饮料
000570,机械
